manufacturer,numHelpful,rating,text,title,username,doRecommend,date
Amazon,0,3,I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,Too small,llyyue,FALSE,2017-09-03T00:00:00.000Z
Amazon,0,5,This kindle is light and easy to use especially at the beach!!!,Great light reader. Easy to use at the beach,Charmi,TRUE,2017-06-06T00:00:00.000Z
Amazon,0,4,Didnt know how much i'd use a kindle so went for the lower end. im happy with it- even if its a little dark,Great for the price,johnnyjojojo,TRUE,2018-04-20T00:00:00.000Z
Amazon,3,5,I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person- but I have a 1 year old who loves ripping up pages. The Kindle prevents that- it's extremely portable (it fits better in my purse than a giant book)- and I have it loaded with lots of books. I finish one and start another- without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model- which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.,A Great Buy,Kdperry,TRUE,2017-11-02T17:33:31.000Z
Amazon,0,5,Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.,Solid entry-level Kindle. Great for kids,Johnnyblack,TRUE,2018-04-24T00:00:00.000Z
Amazon,0,5,This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,Good ebook,rmwarriors,FALSE,2016-12-14T00:00:00.000Z
Amazon,0,5,I ordered this for my daughter- as I have the black paperwhite- and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down- or wanting to take a book on vacation and lugging around a thick paperback- with this I can throw it in my bag and read anywhere. Its light weight- easy to use- the battery life lasts for weeks- which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers- so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.,Light Weight - Makes a world of difference when taking books on the go!,LexieCrews,TRUE,2017-12-20T17:38:23.000Z
Amazon,0,4,I bought my Kindle about 2 months ago and the battery is already dead and will not charge,not good quality,merry,FALSE,2017-07-14T00:00:00.000Z
Amazon,0,5,amazon kindle is always the best ebook- upgrade every new model,best ebook,STEF,TRUE,2018-05-23T00:00:00.000Z
Amazon,0,5,It's beyond my expectation- and it can even show music score. Not fast turning though.,Great Product,AEBY,TRUE,2018-01-12T00:00:00.000Z
