manufacturer,numHelpful,rating,text,title,username,doRecommend,date
Amazon,0,4,I have two of these for my kids. Ages 2 and 3. They are great for them to watch cartoons and they are slowly getting into the puzzles- books and games on them. Easy to setup and link to amazon account. Only gave it 4 stars because the one downfall is that these tablets are bit on the slow side when either downloading content or loading up some videos. Kids are less patient than adults you know. Overall- well worth the money.,Great Starter Tablet for Kids,AmateurGoProer,TRUE,2017-01-03T00:00:00.000Z
Amazon,0,2,Super slow- not of decent quality.I would not buy another. Memory on it is lacking for 8 gig. I will not recommend it to anyone,Not good,Jimfox45,FALSE,2017-05-12T00:00:00.000Z
Amazon,0,2,So I bought my little guys these tablets... so that I could repossess my IPad. Love the free time app but who could've imagined they wouldn't play NETFLIX!! So now... I'm out the money for the tablet and still don't have my iPad back... and yes- I called Amazon numerous times... they work after the fix- but the next time they go to use them they don't work again... the fix takes several minutes as it's force stopping the app- clearing cache then doing a hard restart... then you have to wait to restart Netflix.... oh and sometimes you have to do it numerous times before it works... if it works at all,Disappointed doesn't play Netflix,Toshalee,FALSE,2017-03-16T00:00:00.000Z
Amazon,0,5,Excellent product-my children love this item. Thanks,Great first tablet,D7162,TRUE,2017-01-07T00:00:00.000Z
Amazon,0,5,Boxed well- easy to set up- and pretty easy to get the hang of.,Great Tablet for anyone.,ccdriver1099,TRUE,2016-12-26T00:00:00.000Z
Amazon,0,5,Great selections. Hard to find assistance at times.,Good selection.,Scheu,TRUE,2017-09-30T00:00:00.000Z
Amazon,0,4,My daughter loves playing with this. There are so many features- that it keeps her busy.,Great product,Obrad,TRUE,2016-12-24T00:00:00.000Z
Amazon,0,5,Small & without audio but easy to use. Able to connect to Amazon account & Goodreads account easily. The only thing I hate is that I have to keep restarting it if I want to get out of a ebook that I’m currently reading,Small without audio,Pumkin81,TRUE,2017-11-23T00:00:00.000Z
Amazon,0,5,Replaced a kindle 6 that crashed so fare everything is great. Larger screen fast response-more storage. Don't have to charge as often. Well pleased.,Great up grade from the kindle 6,LarryT,TRUE,2016-09-16T00:00:00.000Z
Amazon,0,5,I am very satisfied with my purchase my girlfriend is very happy,Great,Fingers72,TRUE,2018-04-27T00:00:00.000Z
Amazon,0,5,I bought this as a gift for my grandkids. They absolutely love it!,Awesome fun for toddlers and older,Nana,TRUE,2017-01-17T00:00:00.000Z
Amazon,0,5,What is there to say- but that I love it. Functions well- and lasts a long time.,Great eReader,ThatFriendWhoAsked,TRUE,2017-10-09T00:00:00.000Z
Amazon,0,5,Great learning tool with extensive amounts of material to use. Accident proof bumper a big plus!,Wonderful for kids,Tina,TRUE,2016-09-21T00:00:00.000Z
Amazon,0,5,Great for my kids and is easy to block purchases. Even better if you have amazon prime.,Great 4 kids,Product,TRUE,2017-01-18T00:00:00.000Z
Amazon,0,5,Great idea for a 5 years old. very secure and good contents for that age.,Good idea,DoubleH,TRUE,2017-02-08T00:00:00.000Z
Amazon,0,5,Excellent product very good piece strongly recommend,Great kindle,steve,TRUE,2017-08-28T00:00:00.000Z
Amazon,0,5,Much sleeker and touch response is better. Even wifi connection seems faster might be due to new processor and increase in RAM,Much better than previous generation,raulsk,TRUE,2017-04-06T00:00:00.000Z
Amazon,0,4,Searched around for the perfect tablet for my 3 year old. After testing tablets in stores and reading reviews online the kids fire stood out. The 2 year warranty and free year access to kids content is amazing. The soft foam case provides coverage for drops- the battery life is good for a few hours of play time and the charge time is quick after. For the money this tablet cannot be beat - only minor issue ive noticed is having connection issue with networks at times but this is can be fixed by disconcerting and reconnecting to network. Overall this is a Best Buy for the money- tablet can also be used for adults when you exit the free time app.,Great Tablet for Kids,Tony,TRUE,2017-01-23T00:00:00.000Z
Amazon,0,5,he loved it was a great gift easy to use- small and great,great,booboo,TRUE,2017-02-26T00:00:00.000Z
Amazon,0,5,Easy to set up and durable grandpa dropped it and no issues,Works great my grandson loves it,marine1961,TRUE,2016-12-28T00:00:00.000Z
Amazon,0,5,Bought this for my son- it's been through some stuff and still going strong,Good product,10100915,TRUE,2017-07-20T00:00:00.000Z
Amazon,0,5,Purchased this for my grandchildren for Christmas and they absolutely love it- haven't put it down since they received them...Thanks Best Buy!!!,Tablet,DaQueen,TRUE,2017-01-05T00:00:00.000Z
Amazon,0,4,Love the parental controls and more storage than previous models- but still seems to run out.,Great for a 4 yearold,Momma,TRUE,2017-01-06T00:00:00.000Z
Amazon,0,4,Haven't had any issues until recently my son's tablet won't charge anymore. Called geek support but they couldn't locate warranty so I'll have to go in,Great,Marisa,TRUE,2017-03-15T00:00:00.000Z
Amazon,0,4,It freezes a lot. Lots of problems getting games to cooperate. But overall- my son loves it.,my son loves it,russ,TRUE,2017-01-18T00:00:00.000Z
Amazon,0,5,I bought this tablet for my daughter who was turning 2 - but also because we were taking an 8 hour road trip and wanted her to be occupied. The games are very toddler user friendly and when she gets mad and throws it- it doesn't effect the tablet. My only issue is that the charger doesn't stay secure in the charger spot (sorry I don't know the technical terms haha) so sometimes I will think it is charging and in fact it is not. I recommend buying the warranty for issues like that.,Great for a 2 year old,April,TRUE,2017-05-01T00:00:00.000Z
Amazon,0,5,MY DAUTHER LOVES THIS TABLET- IS EXCELLENT FOR A 3 YEARS OLD CHILDREN,GREAT TABLET,kiyo,TRUE,2017-04-18T00:00:00.000Z
Amazon,2,5,This is just perfect for my 7 year old nothing fancy- parental control is a bit confusing but i got it now- the case is perfect to keep it.safe just get a sd card for extra memory,Perfect for kids,Yazmin,TRUE,2016-07-29T00:00:00.000Z
Amazon,0,4,nice item- and cute. the tablet is difficult to navigate,Cute- but not user friendly,Aidans,FALSE,2016-09-16T00:00:00.000Z
Amazon,0,5,very good product and service will refer a friend.,very good product and service.,Richard,TRUE,2017-10-06T00:00:00.000Z
Amazon,0,5,I was pleasantly surprised to see the Kindle for sale IN the store!! I love my Kindle- especially since I was able to expand the memory! I love that it's portable- to be honest- when given the choice- I find my self on my Kindle over my laptop.The only thing I can complain about- is why in the world Amazon choose s to make it nearly a miracle to find a case for its most popular model?????If you don't have a Kindle- you don't know what your missing!!,Wonderful,Peanut,TRUE,2017-02-12T00:00:00.000Z
Amazon,0,5,My son is constantly distracted and loves technology. Him being only two years old- this proved to be the perfect thing to keep him occupied and out of trouble.,Great for kids!,Star,TRUE,2017-03-15T00:00:00.000Z
Amazon,0,2,I can't update Facebook and a few other apps. It's not what I expected.,Not what I need.,Tnay,FALSE,2016-07-08T00:00:00.000Z
Amazon,0,4,Love the case- table works very well- easy to download game and apps- but the life of the battery is not great. The battery fully charged only last about 3-4 hours,great tablet for my 5 year old grandson,twins,FALSE,2017-01-16T00:00:00.000Z
Amazon,0,5,Purchased as a replacement for a Kindle and it functions well as a Kindle and a tablet.,Great tablet for the price,Jayman,TRUE,2016-10-01T00:00:00.000Z
Amazon,0,5,My son's love there tablet. Great but for the price,Great for kids.,Megan,TRUE,2016-10-05T00:00:00.000Z
Amazon,0,5,Bought this for my grandson. The first one had issues and Best Buy exchanged it. My grandson loves it!!!,Kindle Fire,INWOMAN,TRUE,2016-10-14T00:00:00.000Z
