manufacturer,numHelpful,rating,text,title,username,doRecommend,date
Amazon,0,4,This was a perfect tablet for my 12 year old. It does everything that she needed it to.,Great!,Stevesim,TRUE,2016-07-15T00:00:00.000Z
Amazon,3,5,The tablet is very light and streams well. I only use it to stream movies and it's much ligher then an iPad so makes mobility that much better.,Great product,Victor,TRUE,2016-05-13T00:00:00.000Z
Amazon,1,5,I had one of the first Kindle fires for years and I loved it. So I wanted another newer one and it's great! Has a good battery.,Great tablet,Smroward,TRUE,2017-05-17T00:00:00.000Z
Amazon,0,5,This is my second kindle. Have a few more items to learn. But love it. Easy to get around the apps.,Love my kindle,Dqueen,TRUE,2017-01-16T00:00:00.000Z
Amazon,0,5,It's a good tablet for kids the only thing I really don't like is the fact that you need to put in a credit card to be able to get apps but other than that is ok,Good kids tablet,Addy07,TRUE,2017-01-19T00:00:00.000Z
Amazon,0,4,Am happy with my purchase and the item is being used by my brother's son and he is also happy as on dat,good,mintoo,TRUE,2017-05-17T00:00:00.000Z
Amazon,0,5,Small and easy to use for children when traveling.,Great for younger kids,Danny,TRUE,2016-12-16T00:00:00.000Z
Amazon,0,5,She love it. She said it easy to use.She love it very much,I brought it for my sister birthday,Betty,TRUE,2016-05-20T00:00:00.000Z
Amazon,0,4,I purchased this Kindle for my daughter and she really enjoys using it !!,Nice Kindle!,Kitten,TRUE,2017-12-08T00:00:00.000Z
Amazon,0,5,My brother told me about this product. I bought it for my son and he loves it.,great tablet for children,rayhan,TRUE,2017-04-07T00:00:00.000Z
Amazon,0,5,Great tablet for the grandkids- they love it great item,Great tablet,MrMac,TRUE,2017-01-30T00:00:00.000Z
Amazon,0,5,Great for small children allows for limited time setting. Also allows parents to set a requirement for how long educational apps must be used before free time. Case works well,Great for small kids,Kngovert,TRUE,2017-06-02T00:00:00.000Z
Amazon,0,5,Love not having to carry books and being able to get a variety of books.,Great for reading.,Missy,TRUE,2016-11-04T00:00:00.000Z
Amazon,0,4,Great tablet for under $100. Does not have the highest specs- but gets the job done for lite tablet users.,Great tablet for the price,Tuowls,TRUE,2017-03-20T00:00:00.000Z
Amazon,0,5,amazon fire 7 inch tablet is a great product and works great and no issues,amazon fire 7 inch tablet,jedimaster,TRUE,2017-03-17T00:00:00.000Z
Amazon,0,5,Gift for my great nephew and he really loves it. He loves it so much that Mom has to limit amount of time he allowed to play with it because he would play it 24/7.,Tablet for kid,Marykenfmc,TRUE,2017-02-03T00:00:00.000Z
Amazon,0,5,Originally I bought this for my 4 and 5 year olds. They loved it and so did I. So many things to do on them and so much of what they love. I now got it as well for my 2 year old. The best part of it all is the cases come with the tablets and they have 3 colors to choose from- so perfect for me.,Great for young kids,Sweetflower,TRUE,2016-11-16T00:00:00.000Z
Amazon,0,5,Bought it for my wife and I haven't heard any complaints- so I think it's great. If she's happy I'm happy,Good and cheap,Robert,TRUE,2016-08-05T00:00:00.000Z
Amazon,0,5,My nephew is going to college next year and we want to give him a gift. Kindle suits it well for him to learn and study.,good product,noname,TRUE,2016-12-22T00:00:00.000Z
Amazon,0,5,reviews were quite on spot with this product-very easy setup and very easy to use,great value for what it costs,melni,TRUE,2017-01-24T00:00:00.000Z
Amazon,0,5,My son enjoys to play with his tablet but definitely you gotta take a little time to set it up for them to be safe while they are playing with.,Good for kids under 10y,Happylife,TRUE,2017-01-17T00:00:00.000Z
Amazon,0,5,I bought this tablet right after Black Friday. It had good reviews- a perfect warranty for kids- and a reputable branding. Once set up- it has a good cover that is light and hard for a child to remove. The included one year software Freetime is user friendly and convenient to navigate. So far- we really like this tablet. The only thing that I still need time to determine its battery life. After about 2 hours of game play- the battery is about at 50%. Very satisfied.,Perfect tablet and features for a child,Johnamartin,TRUE,2017-01-06T00:00:00.000Z
Amazon,0,5,This is a great tablet for kids as it is not too expensive and there is a 2 year warranty. If it breaks within 2 years- they replace it. My 4 year is very rough with things. My husband was letting him plug the charger in by himself and jammed it into the tablet- causing the charging port to break. I had no problems getting it replaced.,Great tablet for kids,Elegirl07,TRUE,2016-12-02T00:00:00.000Z
Amazon,0,5,This is a great product and i would recommend it to anyone that enjoys reading.,Great E-Reader,Jpan5447,TRUE,2017-03-26T00:00:00.000Z
Amazon,0,4,I bought this item as a gift for a relative in her mid teens and so far no complaints.,So far so good,KTinthe301,TRUE,2017-02-03T00:00:00.000Z
Amazon,0,5,My kids love their tablets. They play games and take pictures.,Great game for little kids,Alaska,TRUE,2016-12-30T00:00:00.000Z
Amazon,0,4,This was bought as a replacement to a shattered screen kindle. We are always happy with our kindle but can i just tell you how easy it was to set up the replacement!?!? Literally no strain on the brain- follow screen instructions and EVERYTHING from old kindle transferred over flawlessly! Awesome!,Easy Replacement,TechToys,TRUE,2017-01-18T00:00:00.000Z
Amazon,0,4,My 5 year old granddaughter cannot put her Fire tablet down. My granddaughter plays a variety of games and watches videos. She loves her tablet!,Good tablet for kids.,DarlingGrandkids11,TRUE,2017-01-16T00:00:00.000Z
Amazon,0,4,Used it for watching television shows. The picture was clear and the audio was decent for the location of the speakers.,Nice for Streaming,Em17,TRUE,2017-03-19T00:00:00.000Z
Amazon,0,5,I personally like the old shape ( more square ) of the kindle better. I use to have a 8 inch and loved it until my grandkids dropped it and now it doesn't work any more.,Great tablet for kids,Mona,TRUE,2017-01-06T00:00:00.000Z
Amazon,0,5,This is great for kids- my 3yr old uses and it has fallen and the cover really protects it. The kids section is filled with lots of apps,Great,Lizs,TRUE,2016-12-08T00:00:00.000Z
Amazon,0,3,My 7-year old daughter saved up to by this. Her brother bought the 8GB about a year earlier- so new she needed more space. The OS is a bit clunky- and less intuitive then on higher priced tablets- but tough to beat the price. Speed isn't great for web or certain gaming apps- but fine for books. Parental controls are helpful- but take time to figure out and require more steps than seem necessary to change. Overall- OK first tablet for kids- considering the price. For adults- fine for e-books and VERY basic apps. Otherwise- best to pay up for better quality and OS efficiency.,OK For Entry Level Tablet,BigSky,TRUE,2017-05-31T00:00:00.000Z
Amazon,0,4,this was a christmas present- for the nephew works good- he loves it,Works good,Auntie,TRUE,2017-02-02T00:00:00.000Z
Amazon,0,5,I can download my pdf file and read in this kindle. I am satisfied with the performance.,Excellent Product,GANESH,TRUE,2017-04-26T00:00:00.000Z
Amazon,0,5,I have a 3 year old at home. Best purchase ever! Indestructible. Reliable. Easy to program. I would highly recommend this.,Perfect for a toddler,Sygaco,TRUE,2017-03-03T00:00:00.000Z
