manufacturer,numHelpful,rating,text,title,username,doRecommend,date
Amazon,0,5,I bought this tablet to replace my old kindle fire. So far- it has exceeded my expectations. All my apps have transferred flawlessly. The battery lasts me 10-12 hours- with moderate internet use. Glad I made this purchase.,Great tablet,BarbaraM,TRUE,2017-05-18T00:00:00.000Z
Amazon,0,5,The device is priced just right to give as a gift for an 8 year old,GREAT VALUE,Randy2,TRUE,2016-11-11T00:00:00.000Z
Amazon,0,4,Tends to flip out of my screen to something else. Each screen change = at least one pop up ad. Otherwise- it's been reliable so far.,Works fine so far. Tends to change screens.,sunbonnet,TRUE,2017-01-16T00:00:00.000Z
Amazon,0,2,Not a good product short battery life i can only use for 20 minutes,short life,notonfire1,FALSE,2017-04-18T00:00:00.000Z
Amazon,0,4,nice reader. almost perfect for what i want/need. good bargain,good,Linda,TRUE,2017-01-24T00:00:00.000Z
Amazon,0,5,Great for those who love to read this tablet is always ready for on the go trips,Great product love it perfect for book lovers,GolfQueen,TRUE,2017-02-03T00:00:00.000Z
Amazon,0,5,WAS LOOKING FOR A NEW TABLET. .. GREAT PRICE FOR THIS ONE!,GREAT TABLET,itsallme,TRUE,2017-05-17T00:00:00.000Z
Amazon,0,4,I bought this for my sister as a gift so she need not use her laptop for basic internet surfing and to watch movies while travelling. The device speed is decent although you cannot compare the performance to a laptop. If you want to avoid carrying a bulky laptop during travel and want a budget make do device for laptop then choose amazon fire tablet.,Good device for beginners,MeenaSai,TRUE,2017-02-17T00:00:00.000Z
Amazon,0,5,I originally purchased a Kindle paperwhite but returned it the next day and purchased this one. Very easy to read on- watch movies- and listen to music.,Love my new kindle,Jamie,TRUE,2017-03-25T00:00:00.000Z
Amazon,0,5,I am thrilled with this purchase! Both affordable and high quality!,Love this tablet!,lexa,TRUE,2017-01-18T00:00:00.000Z
Amazon,0,4,Got this for my wife and she loves it. She had the previous generation and this one is a giant keep forward.,My wife loves it.,Richardm1981,TRUE,2017-03-19T00:00:00.000Z
Amazon,0,5,This is my third Kindle Fire and it improves each time. Colors are crisper and best of all it stays charged a lot longer.,Love Kindle Fire,GGinBC,TRUE,2016-11-11T00:00:00.000Z
Amazon,0,5,Great little tablet for someone who is always on the go.,Awesome tablet,DARREN,TRUE,2017-03-16T00:00:00.000Z
Amazon,0,5,"The 8"" version is much better than the older 7"" version. Better graphics and faster processor",Great tablet,Rick07,TRUE,2016-12-30T00:00:00.000Z
Amazon,0,5,My wife loves this tablet.Much easier to use than previous 2 tablets that we purchased.,Great tablet for a gift,Richie,TRUE,2017-03-10T00:00:00.000Z
Amazon,0,5,Bought it for my daughter and she loves it great product at a great price!,Great tablet,Tyree,TRUE,2017-01-28T00:00:00.000Z
Amazon,0,5,We have one for each of my children so I bought this one for my mother. They are amazing tablets especially for the price!,Amazing deal!,JTShep,TRUE,2016-12-14T00:00:00.000Z
Amazon,0,4,For its price- this a great little tablet. It does have limitations on what it can do and what apps are available for use with it which is the only reason I gave it 4 rather than 5 stars. Hopefully Amazon will allow it to perform better soon.,Nice lower priced tablet,wcpitboss,TRUE,2017-01-30T00:00:00.000Z
Amazon,0,5,A Great value for the money you can save instead of a Ipad from Apple.,Great Tablet for the casual user,hotleggs,TRUE,2017-01-03T00:00:00.000Z
Amazon,0,5,I bought this tablet for my 13 yr. old God-child and she loves it. This was her Christmas present.,Great Tablet for my teen God-child.,Barbie,FALSE,2017-05-17T00:00:00.000Z
Amazon,0,5,I find this fire much lighter and very easy to use,Like the size and lite weight,Gram,TRUE,2016-11-05T00:00:00.000Z
Amazon,0,5,I was a ook user and have been converted to kindle. The size is great and it is very responsive. Got one for me and one as a gift.,Love my kindle.,Katherine,TRUE,2016-12-15T00:00:00.000Z
Amazon,0,4,It's easy and intuitive. The only criticism is that it should be easier to go right into an application- instead of watching an advertisement- then having to figure out how to exit it,Easy and intuitive,IHEARTsxm,TRUE,2017-01-23T00:00:00.000Z
Amazon,0,4,Good tablet for basic needs. Screens resolution is pretty good. Mostly using for reading and sometimes for watching movies/shows. Great feature is the possibility to use the card to expand the memory. Good product for great price!,Good tablet for basic needs,GwenG,TRUE,2016-12-23T00:00:00.000Z
Amazon,0,5,Great tablet for the price- it was a Christmas present and so far so good!,Great tablet,OneM45,TRUE,2017-01-16T00:00:00.000Z
Amazon,0,5,It was a perfect gift for my godson. He loved it! Definitely would recommend this product.,Great kindle for kids!,Munoz425,TRUE,2017-03-18T00:00:00.000Z
Amazon,0,4,Easy to use. Pretty user friendly. It is good value for the price,Great tablet for wife.,Dave,TRUE,2017-03-17T00:00:00.000Z
Amazon,0,5,needed a tv in our kitchen- wasn't looking for huge or fancy for this. so the 32 inch was perfect for us,nice tv,runik4444,TRUE,2016-12-23T00:00:00.000Z
Amazon,0,5,This is so easy to use and does exactly what I hoped.,Great Tablet for the price,Zoom,TRUE,2016-12-09T00:00:00.000Z
Amazon,0,5,Purchased this for my nephew. He loved it and can't stop playing with it.,Gift,Butterfly,TRUE,2017-01-08T00:00:00.000Z
Amazon,0,4,I think the amazon fire offer should include a stand/cover as standard. I enjoy mine a lot more since I was forced to purchase a stand/cover which holds the tablet. Would have preferred an instruction sheet to grt everything set up for use.,Amazon fire,Rich,TRUE,2017-01-24T00:00:00.000Z
