manufacturer,numHelpful,rating,text,title,username,doRecommend,date
Amazon,0,4,"This tablet is perfect for my mom. She primarily uses it for playing games- the calendar and taking pictures. The camera is a decent camera for a 7"" tablet. Hopefully she'll use it to read books and magazines as well.",Christmas Gift for Mom,AngelicByrd,TRUE,2016-12-27T00:00:00.000Z
Amazon,0,2,It was too slow he didn't put any attention to it. Battery didn't last.,My son didn't like it,Chula1,FALSE,2016-10-28T00:00:00.000Z
Amazon,0,5,Good to use it to read books under light.the price is lower than other website.,Good,Darcy,TRUE,2017-11-15T00:00:00.000Z
Amazon,0,5,Give this product a 10 tons of great learning programs.,Great Tablet,Chacha,TRUE,2017-01-23T00:00:00.000Z
Amazon,0,5,Loved the Fire HD7 but the latest HD8 is sharper- faster and still handles great.,A big step up from Fire HD7,bestbuyer,TRUE,2016-12-23T00:00:00.000Z
Amazon,0,4,This tablet is very good for my daughter of age five.,Excellent,riwa,TRUE,2017-05-12T00:00:00.000Z
Amazon,0,5,I like the way I can read many books and magazines as well as play various games on my kindle.,Great Multi Use Kindle,Mis12,TRUE,2017-03-31T00:00:00.000Z
Amazon,0,4,Video quality is very good. Works well with Amazon Prime Video and Music - no surprises there. Apps are VERY disappointing - many common apps are not available - even though there are Android versions! Not bad if you have modest expectations.,Good - But could be much better.,KBuyer,TRUE,2017-02-03T00:00:00.000Z
Amazon,0,5,Goog tablet the only bad part is that you have to be creating a profile and thats where it gets complicated because when they sell u the tablet they saw its for kids,Great tablet,hennessy,TRUE,2017-05-06T00:00:00.000Z
Amazon,1,4,Good product- great price. Big improvement over my first tablet.,Great for the price,Nortstar,TRUE,2016-06-06T00:00:00.000Z
Amazon,0,5,My grandson takes it on trips and he loves it. It's easy to use.,It's a really good tablet.,Geno,TRUE,2016-12-18T00:00:00.000Z
Amazon,0,5,This is all around a great tablet. My 1yr old can use it with ease. Also love how we can change the profiles to suit adults as well. Would recommend to anyone and all ages.,Awesome for all ages,Momfromga,TRUE,2017-02-03T00:00:00.000Z
Amazon,0,5,This is a great tablet for the price! Love the pink color!,Great for beginners,Jen58,TRUE,2016-10-28T00:00:00.000Z
Amazon,0,5,My daughter absolutely love her tablet and I love it to for her. It's very kids friendly,Great for children,Tisha,TRUE,2017-05-17T00:00:00.000Z
Amazon,0,5,This is great for learning for little kids. Easy set up. in about a hours time my 3 yrs grandson new how to navigate through the whole system. Well made for kids in mind.,Great learning tool for kids,Phintz007,TRUE,2017-03-11T00:00:00.000Z
Amazon,0,5,Need to definitely get a memory card. Not enough memory to hold kids apps.,Easy for my 3 year old to use,kathy,TRUE,2017-03-26T00:00:00.000Z
Amazon,0,5,Purchased as a Christmas gift for my grandson. He loved it!,Great for the price.,Jacque,TRUE,2017-01-06T00:00:00.000Z
Amazon,0,5,Daughter uses it constantly for games- texting- Web surfing- and email. Great alternative to more expensive devices.,Cheap but functional device,MintBeard,TRUE,2017-01-23T00:00:00.000Z
Amazon,0,5,Easy to play and very helpful to learning for children's,Grat toy for children,Frank1400,TRUE,2016-12-13T00:00:00.000Z
Amazon,0,5,Granddaughter loves it these was her upgrade for her birthday,this was an upgrade,Destiny,TRUE,2017-05-05T00:00:00.000Z
Amazon,0,4,Needed a tablet for games and apps for the elderly. Great choice,Great tablet,Abele,TRUE,2017-07-07T00:00:00.000Z
Amazon,0,3,I love these Tablets- but the charging ports aren't the best. I bought 3 for Christmas and my kids take excellent care of them. I also do NOT them touch the tablets while they are charging. They have only had their tablets since Christmas day and they won't charge. I highly recommend getting the protection warranty for this item.,Charging Ports,Bkm2888,TRUE,2017-02-01T00:00:00.000Z
Amazon,0,4,Great generic tablet for looking to keep kids occupied. Mine enjoy the FreeTime Unlimited- and the child restrictions are great for my needs.My only concern has been for the space available. I was amazed at how quickly they ate up 32 GB of space on apps.,Great Tablet for Kids,silverbullet64,TRUE,2017-01-23T00:00:00.000Z
Amazon,0,5,Awesome tablet with access to lots of apps. Great games and learning tools!,Excellent tablet for kids,JJacknAZ,TRUE,2016-11-28T00:00:00.000Z
Amazon,0,5,This is my second kindle. Have a few more items to learn. But love it. Easy to get around the apps.,Love my kindle,Dqueen,TRUE,2017-01-16T00:00:00.000Z
Amazon,0,4,My daughter got this tablet for Christmas and is very happy with it. The parental controls are awesome and make me feel safe as a parent. Only complaint is that is doesn't come with set up instructions.,Great tablet for kids,Aubbeyschell,TRUE,2016-12-30T00:00:00.000Z
Amazon,0,3,Battery dies after an hour...should last longer for the money. Will not bold charge.,Kiddo LOVES it,RealLifePrincessMommaOf3,TRUE,2017-05-18T00:00:00.000Z
Amazon,0,5,I bought this for my grandson and he loves it. great,My grandson loves it,Maxi,TRUE,2017-01-06T00:00:00.000Z
Amazon,0,5,Great for kids if you don't want to spend money on the IPAD.,Great for kids,Shopper,TRUE,2017-01-18T00:00:00.000Z
Amazon,0,4,Nice reader. Light weight. Clear display! Portable,Nice reader,SHays,TRUE,2017-11-10T00:00:00.000Z
Amazon,0,5,Easy to play and very helpful to learning for children's,Grat toy for children,Frank1400,TRUE,2016-12-13T00:00:00.000Z
Amazon,0,4,This is a great tablet for basic needs.. internet.. video streaming.. games.. books... you dont need an ipad?.. get one of these.,Great Cheap Tablet,EmptyLogic,TRUE,2016-12-30T00:00:00.000Z
Amazon,0,5,I got this because it is almost impossible to break,bought for my grandson and he loves it.,Happy,TRUE,2016-11-28T00:00:00.000Z
Amazon,1,5,The tablet was a great fit for my 21 month old toddler. She is able to watch episodes of her favorite cartoons and play some of the apps with assistance. I like that she will be able to use the tablet for years to come just by updating to more age appropriate apps.,Great tablet for a toddler,Trish,TRUE,2016-09-21T00:00:00.000Z
